
=== MEMORY LOOP - FRAMEWORK BACKEND CLI ===
(i) Audit statique AST de tous les modules sous src/...
(i) [PASS] src/pipelines/blast_radius.py (127 lignes, 1.2ms)
(i) [PASS] src/pipelines/canvas_generator.py (285 lignes, 2.1ms)
(i) [PASS] src/pipelines/cel_triangulation.py (126 lignes, 1.2ms)
(i) [PASS] src/pipelines/code_tournament.py (273 lignes, 1.9ms)
(i) [PASS] src/pipelines/cycle_runner.py (101 lignes, 1.1ms)
(i) [PASS] src/pipelines/deterministic_checks.py (184 lignes, 1.9ms)
(i) [PASS] src/pipelines/diagnostics.py (52 lignes, 0.6ms)
(i) [PASS] src/pipelines/drawdb_pipeline.py (44 lignes, 0.6ms)
(i) [PASS] src/pipelines/dreamer.py (69 lignes, 0.6ms)
(i) [PASS] src/pipelines/dream_consolidator.py (170 lignes, 1.3ms)
(i) [PASS] src/pipelines/drill.py (33 lignes, 0.5ms)
(i) [PASS] src/pipelines/evals.py (109 lignes, 1.3ms)
(i) [PASS] src/pipelines/eval_harvester.py (158 lignes, 1.3ms)
(i) [PASS] src/pipelines/evidence.py (204 lignes, 1.4ms)
(i) [PASS] src/pipelines/focus.py (182 lignes, 1.4ms)
(i) [PASS] src/pipelines/gatekeeper.py (176 lignes, 1.4ms)
(i) [PASS] src/pipelines/goal_cascade.py (132 lignes, 1.4ms)
(i) [PASS] src/pipelines/grill_engine.py (293 lignes, 2.3ms)
(i) [PASS] src/pipelines/handoff.py (50 lignes, 0.6ms)
(i) [PASS] src/pipelines/hybrid_context_engine.py (295 lignes, 2.5ms)
(i) [PASS] src/pipelines/ingest.py (71 lignes, 0.8ms)
(i) [PASS] src/pipelines/ingest_assets.py (83 lignes, 0.9ms)
(i) [PASS] src/pipelines/ingest_enrichment.py (139 lignes, 1.4ms)
(i) [PASS] src/pipelines/ingest_file_processors.py (207 lignes, 2.0ms)
(i) [PASS] src/pipelines/ingest_indexers.py (198 lignes, 2.0ms)
(i) [PASS] src/pipelines/ingest_lexicon.py (152 lignes, 1.3ms)
(i) [PASS] src/pipelines/ingest_manifests.py (97 lignes, 0.9ms)
(i) [PASS] src/pipelines/invest_dataset_distiller.py (190 lignes, 0.9ms)
(i) [PASS] src/pipelines/llm_wiki.py (151 lignes, 1.3ms)
(i) [PASS] src/pipelines/loop_audit.py (77 lignes, 0.7ms)
(i) [PASS] src/pipelines/memory_hygiene.py (174 lignes, 1.6ms)
(i) [PASS] src/pipelines/multi_draft.py (220 lignes, 1.5ms)
(i) [PASS] src/pipelines/multi_repo_benchmark.py (203 lignes, 2.5ms)
(i) [PASS] src/pipelines/nli_auditor.py (183 lignes, 1.9ms)
(i) [PASS] src/pipelines/notebooklm_export.py (261 lignes, 2.1ms)
(i) [PASS] src/pipelines/okf_compiler.py (153 lignes, 1.6ms)
(i) [PASS] src/pipelines/plugin_export.py (121 lignes, 0.9ms)
(i) [PASS] src/pipelines/qa_certifier.py (296 lignes, 2.6ms)
(i) [PASS] src/pipelines/qa_certifier_models.py (94 lignes, 0.9ms)
(i) [PASS] src/pipelines/research_pipeline.py (48 lignes, 0.6ms)
(i) [PASS] src/pipelines/rho_registry.py (82 lignes, 0.8ms)
(i) [PASS] src/pipelines/rubber_duck.py (277 lignes, 2.0ms)
(i) [PASS] src/pipelines/self_dev_pipeline.py (119 lignes, 1.1ms)
(i) [PASS] src/pipelines/session_resume.py (101 lignes, 1.0ms)
(i) [PASS] src/pipelines/skill_auto_tuner.py (182 lignes, 1.3ms)
(i) [PASS] src/pipelines/skill_doctor.py (282 lignes, 2.1ms)
(i) [PASS] src/pipelines/sow_engine.py (262 lignes, 8.3ms)
(i) [PASS] src/pipelines/story_cleaner.py (66 lignes, 0.7ms)
(i) [PASS] src/pipelines/story_editor.py (53 lignes, 0.7ms)
(i) [PASS] src/pipelines/svg_optimizer.py (188 lignes, 1.8ms)
(i) [PASS] src/pipelines/task_graph.py (116 lignes, 1.0ms)
(i) [PASS] src/pipelines/teach_pipeline.py (97 lignes, 0.6ms)
(i) [PASS] src/pipelines/ticket_pipeline.py (109 lignes, 1.1ms)
(i) [PASS] src/pipelines/trace_logger.py (83 lignes, 0.7ms)
(i) [PASS] src/pipelines/unlearn.py (114 lignes, 1.1ms)
(i) [PASS] src/pipelines/vibe_check.py (6 lignes, 0.4ms)
(i) [PASS] src/pipelines/wayfinder.py (79 lignes, 0.7ms)
(i) [PASS] src/pipelines/wikifix.py (7 lignes, 0.3ms)
(i) [PASS] src/pipelines/wikifix_auditors.py (276 lignes, 2.7ms)
(i) [PASS] src/pipelines/_canvas_arch.py (106 lignes, 0.7ms)
(i) [PASS] src/pipelines/_skill_doctor_report.py (160 lignes, 1.3ms)
(i) [PASS] src/pipelines/_wikifix_heal.py (168 lignes, 1.6ms)
(i) [PASS] src/pipelines/delegation/handoff_simulator.py (141 lignes, 1.2ms)
(i) [PASS] src/pipelines/delegation/legacy_miner.py (106 lignes, 0.9ms)
(i) [PASS] src/pipelines/delegation/semantic_janitor.py (130 lignes, 1.1ms)
(i) [PASS] src/pipelines/delegation/shadow_estimator.py (127 lignes, 1.0ms)
(i) [PASS] src/pipelines/delegation/visual_dissector.py (144 lignes, 1.1ms)
(i) [PASS] src/pipelines/delegation/__init__.py (19 lignes, 0.3ms)
(i) [PASS] src/pipelines/dream_rsi/explorer.py (140 lignes, 1.0ms)
(i) [PASS] src/pipelines/dream_rsi/harness_isolator.py (138 lignes, 1.1ms)
(i) [PASS] src/pipelines/dream_rsi/simulator.py (242 lignes, 1.8ms)
(i) [PASS] src/pipelines/dream_rsi/stage.py (93 lignes, 0.8ms)
(i) [PASS] src/pipelines/dream_rsi/__init__.py (34 lignes, 0.3ms)
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/engine/hooks/compaction.py ---
Statut : [FAIL] VIOLATIONS | 633 lignes | 26714 octets | 4.21 ms
Violations relev├®es :
  * [RULE-AST-01] (L633) : Plafond modulaire d├®pass├® : 633 lignes (seuil strict = 300).
    ÔööÔöÇÔöÇ Action : D├®couper le module en composants sp├®cialis├®s (ADR-0202).
  * [RULE-AST-01] (L633) : Taille de fichier excessive : 26714 octets (seuil strict = 15360 octets / 15 Ko).
    ÔööÔöÇÔöÇ Action : All├®ger le contenu et extraire les fonctions secondaires.
--- AUDIT AST : src/engine/rubber_duck/critic.py ---
